date,open,high,low,close,volume
2025-12-29,272.16,273.83,271.82,273.23,23714986.0
2025-12-30,272.28,273.55,271.75,272.55,22139615.0
2025-12-31,272.53,273.15,271.22,271.33,27293584.0
2026-01-02,271.725,277.31,268.47,270.48,37838054.0
2026-01-05,270.11,270.98,265.61,266.73,45647185.0
2026-01-06,266.47,267.02,261.59,261.83,52352090.0
2026-01-07,262.67,263.15,259.28,259.8,48309414.0
2026-01-08,256.49,258.76,255.17,258.51,50419336.0
2026-01-09,258.545,259.68,255.69,258.84,39996966.0
2026-01-12,258.63,260.77,256.27,259.72,45263372.0
2026-01-13,258.19,261.28,257.86,260.52,45730796.0
2026-01-14,258.96,261.29,256.18,259.43,40019349.0
2026-01-15,260.12,260.51,256.52,257.68,39388475.0
2026-01-16,257.37,258.37,254.4,255.0,72142772.0
2026-01-20,252.2,254.26,242.89,246.17,80267504.0
2026-01-21,248.17,251.03,244.65,247.12,54641725.0
2026-01-22,248.67,250.47,247.62,247.82,39708293.0
2026-01-23,246.79,248.88,244.15,247.51,41688953.0
2026-01-26,250.95,256.03,249.27,254.88,55969183.0
2026-01-27,258.64,261.42,257.68,257.74,49648271.0
2026-01-28,257.12,258.325,253.98,255.91,41287969.0
2026-01-29,257.47,259.12,253.88,257.75,67252891.0
2026-01-30,254.635,261.3699,251.65,258.95,92443303.0
2026-02-02,259.5,269.96,258.675,269.48,73913423.0
2026-02-03,268.67,271.345,267.08,268.95,64394650.0
2026-02-04,271.755,278.42,271.755,275.96,90545398.0
2026-02-05,277.6,278.97,272.7,275.38,52977396.0
2026-02-06,276.59,280.375,276.395,277.59,50453279.0
2026-02-09,277.635,277.93,271.43,274.35,44623355.0
2026-02-10,274.615,275.1,272.67,273.41,34376605.0
2026-02-11,274.425,279.91,274.18,275.23,51931208.0
2026-02-12,275.32,275.45,259.91,261.46,81077219.0
2026-02-13,261.74,261.96,255.18,255.51,56290673.0
2026-02-17,257.78,266.02,255.27,263.61,58468913.0
2026-02-18,263.33,266.55,262.18,264.08,34202996.0
2026-02-19,262.33,264.21,259.78,260.31,30845258.0
2026-02-20,258.7,264.48,257.89,264.31,42070374.0
2026-02-23,263.22,269.16,263.111,265.91,37308000.0
2026-02-24,267.59,274.62,267.44,271.87,47014549.0
2026-02-25,271.51,274.67,270.78,273.96,33714222.0
2026-02-26,274.675,275.84,270.525,272.68,32345105.0
2026-02-27,272.54,272.54,262.62,263.91,72366505.0
2026-03-02,262.14,266.26,259.93,264.45,41827920.0
2026-03-03,263.21,265.29,259.86,263.48,38568896.0
2026-03-04,264.38,265.88,261.15,262.25,39802859.0
2026-03-05,260.52,261.285,256.98,260.02,49658509.0
2026-03-06,258.36,258.5,254.1,257.19,41119995.0
2026-03-09,255.42,260.88,253.4105,259.61,38218531.0
2026-03-10,257.375,262.21,256.68,260.56,30590691.0
2026-03-11,260.82,261.86,259.28,260.54,26218534.0
2026-03-12,258.39,258.68,253.91,255.49,40793922.0
2026-03-13,255.21,256.06,249.25,249.85,36929911.0
2026-03-16,251.835,253.615,249.61,252.55,32074181.0
2026-03-17,252.685,254.86,251.91,253.96,32361394.0
2026-03-18,252.355,254.67,248.73,249.67,35757686.0
2026-03-19,249.13,251.56,247.03,248.69,34864055.0
2026-03-20,247.705,248.9299,245.73,247.72,88331039.0
2026-03-23,253.7,254.33,250.01,251.22,40546003.0
2026-03-24,250.08,254.555,249.28,251.37,45151904.0
2026-03-25,253.825,254.73,251.33,252.35,28476668.0
2026-03-26,251.845,256.73,250.5,252.62,41796650.0
2026-03-27,253.63,255.223,247.8,248.53,47899998.0
2026-03-30,249.8,250.6,245.24,246.36,39446015.0
2026-03-31,247.64,255.21,246.831,253.52,49597194.0
2026-04-01,253.81,255.91,253.06,255.36,40059432.0
2026-04-02,253.93,255.86,250.38,255.65,31288896.0
2026-04-06,256.24,261.89,256.19,258.59,29329910.0
2026-04-07,255.885,255.93,245.43,253.23,62147944.0
2026-04-08,258.18,259.4799,256.26,258.63,41032627.0
2026-04-09,258.73,260.85,255.8,260.22,28121302.0
2026-04-10,259.71,261.92,258.7531,260.21,31291385.0
2026-04-13,259.46,259.91,256.39,258.93,36234480.0
2026-04-14,258.975,261.66,256.92,258.56,48370710.0
2026-04-15,257.89,266.29,257.54,266.16,49913490.0
2026-04-16,266.53,266.89,261.0,263.13,43322984.0
2026-04-17,266.69,272.03,266.45,269.96,61436160.0
2026-04-20,270.06,274.005,270.02,272.78,36590135.0
2026-04-21,271.23,272.53,265.13,265.9,50209699.0
2026-04-22,267.55,273.47,266.6,272.9,43249072.0
2026-04-23,274.775,275.5,271.38,273.16,33399530.0
2026-04-24,272.485,272.79,269.38,270.79,38156959.0
2026-04-27,265.82,268.09,264.8,267.34,41466553.0
2026-04-28,272.065,272.96,268.39,270.44,40018566.0
2026-04-29,267.28,270.77,266.77,269.9,30047854.0
2026-04-30,270.23,275.73,267.87,271.08,91848046.0
2026-05-01,278.585,286.95,278.1,279.87,79915442.0
2026-05-04,279.385,280.36,274.5901,276.56,46668395.0
2026-05-05,276.655,284.3,276.231,283.91,49311712.0
2026-05-06,281.645,287.76,280.8,287.24,58336056.0
2026-05-07,289.0,291.86,285.51,287.17,45224299.0
2026-05-08,289.74,294.49,289.73,293.05,52692736.0
2026-05-11,291.979,293.88,290.23,292.68,42247239.0
2026-05-12,292.56,295.27,292.56,294.8,45748129.0
2026-05-13,293.5,300.92,293.5,298.87,52684226.0
2026-05-14,299.82,300.45,295.38,298.21,35324918.0
2026-05-15,297.9,303.2,296.52,300.23,54862836.0
2026-05-18,300.24,300.66,294.91,297.84,34482925.0
2026-05-19,296.97,300.51,296.35,298.97,42243561.0
2026-05-20,298.18,302.8,298.08,302.25,38229843.0
2026-05-21,301.055,305.54,300.4,304.99,42965126.0
2026-05-22,306.12,311.4,305.84,308.82,43670211.0
2026-05-26,309.56,311.82,307.67,308.33,48000493.0
2026-05-27,308.33,313.26,308.3,310.85,50430918.0
2026-05-28,310.68,312.8,309.57,312.51,48220309.0
2026-05-29,311.775,315.0,309.53,312.06,70026752.0
2026-06-01,309.625,310.94,305.02,306.31,48849913.0
2026-06-02,307.46,315.45,306.685,315.2,44534686.0
2026-06-03,314.175,316.94,308.85,310.26,50836553.0
2026-06-04,313.23,313.54,309.65,311.23,44869122.0
2026-06-05,312.86,315.17,307.15,307.34,65310417.0
2026-06-08,308.739,317.4,301.17,301.54,77949069.0
2026-06-09,300.275,300.75,287.78,290.55,70108797.0
2026-06-10,290.74,294.75,287.38,291.58,52793241.0
2026-06-11,293.72,297.0,289.59,295.63,42572471.0
2026-06-12,296.03,297.14,289.62,291.13,38784770.0
2026-06-15,294.12,297.78,291.7,296.42,45732467.0
2026-06-16,295.245,300.48,293.97,299.24,39874404.0
2026-06-17,300.845,302.07,294.36,295.95,42745016.0
2026-06-18,298.11,300.57,295.62,298.01,85962167.0
2026-06-22,297.31,302.42,296.76,297.01,44879903.0
2026-06-23,297.538,301.64,294.18,294.3,52010924.0
2026-06-24,295.355,299.7,292.94,293.08,53081699.0
2026-06-25,287.4,288.8,273.75,275.15,107253600.0
2026-06-26,275.0,285.95,274.21,283.78,261775448.0
2026-06-29,286.73,288.3697,279.85,281.74,66427002.0
2026-06-30,281.17,289.94,280.695,289.36,65100140.0
